id,title,body,category,priority
266,Info offerta Pro ID#7655,Quali differenze tra piano Base e Pro? entro domani.,Commerciale,media
267,Disponibilità prodotto ID#3129,Qual è lo stato del mio ordine e quando arriva?.,Commerciale,bassa
268,Richiesta preventivo ID#7499,Qual è lo stato del mio ordine e quando arriva? per favore.,Commerciale,bassa
269,Upgrade piano ID#3390,Qual è lo stato del mio ordine e quando arriva? entro domani.,Commerciale,media
270,Sconto per quantità ID#9538,Qual è lo stato del mio ordine e quando arriva? grazie.,Commerciale,bassa
271,Info offerta Pro ID#7287,Quali differenze tra piano Base e Pro? è urgente.,Commerciale,alta
272,Tempi di consegna ID#3075,Possiamo avere sconto per quantità su ordine ricorrente?.,Commerciale,bassa
273,Disponibilità prodotto ID#1874,Vorrei fare upgrade del piano dal prossimo mese. non urgente.,Commerciale,alta
274,Info offerta Pro ID#4638,Qual è lo stato del mio ordine e quando arriva? non urgente.,Commerciale,alta
275,Tempi di consegna ID#3997,Disponibilità prodotto e costi di spedizione. il prima possibile.,Commerciale,bassa
276,Richiesta preventivo ID#9485,Posso modificare l'ordine già inserito? grazie.,Commerciale,bassa
277,Cambio ordine ID#3016,Vorrei fare upgrade del piano dal prossimo mese. grazie.,Commerciale,bassa
278,Tempi di consegna ID#1673,Mi servono tempi di consegna stimati. richiesta bloccante.,Commerciale,alta
279,Richiesta preventivo ID#2928,Vorrei fare upgrade del piano dal prossimo mese. non urgente.,Commerciale,alta
280,Disponibilità prodotto ID#7882,Possiamo avere sconto per quantità su ordine ricorrente? entro oggi.,Commerciale,bassa
281,Tempi di consegna ID#7376,Posso modificare l'ordine già inserito? entro domani.,Commerciale,media
282,Disponibilità prodotto ID#3928,Disponibilità prodotto e costi di spedizione..,Commerciale,bassa
283,Richiesta preventivo ID#8623,Disponibilità prodotto e costi di spedizione. il prima possibile.,Commerciale,bassa
284,Disponibilità prodotto ID#3942,Disponibilità prodotto e costi di spedizione. è urgente.,Commerciale,alta
285,Cambio ordine ID#2099,Quali differenze tra piano Base e Pro? grazie.,Commerciale,bassa
286,Upgrade piano ID#6985,Posso modificare l'ordine già inserito? per favore.,Commerciale,bassa
287,Disponibilità prodotto ID#1666,Vorrei un preventivo per 20 licenze e assistenza. grazie.,Commerciale,bassa
288,Info offerta Pro ID#9380,Vorrei fare upgrade del piano dal prossimo mese. per favore.,Commerciale,bassa
289,Richiesta preventivo ID#3231,Posso modificare l'ordine già inserito?.,Commerciale,bassa
290,Info offerta Pro ID#4173,Quali differenze tra piano Base e Pro? grazie.,Commerciale,bassa
291,Disponibilità prodotto ID#3705,Possiamo avere sconto per quantità su ordine ricorrente? il prima possibile.,Commerciale,bassa
292,Info offerta Pro ID#5132,Vorrei fare upgrade del piano dal prossimo mese. grazie.,Commerciale,bassa
293,Upgrade piano ID#8477,Possiamo avere sconto per quantità su ordine ricorrente? grazie.,Commerciale,bassa
294,Sconto per quantità ID#4413,Disponibilità prodotto e costi di spedizione. entro oggi.,Commerciale,bassa
295,Tempi di consegna ID#7099,Vorrei fare upgrade del piano dal prossimo mese..,Commerciale,bassa
296,Tempi di consegna ID#7610,Qual è lo stato del mio ordine e quando arriva? grazie.,Commerciale,bassa
297,Sconto per quantità ID#7174,Vorrei fare upgrade del piano dal prossimo mese. grazie.,Commerciale,bassa
298,Sconto per quantità ID#9695,Quali differenze tra piano Base e Pro?.,Commerciale,bassa
299,Upgrade piano ID#9543,Disponibilità prodotto e costi di spedizione. per favore.,Commerciale,bassa
300,Sconto per quantità ID#7086,Posso modificare l'ordine già inserito? entro oggi.,Commerciale,bassa
